# PRISM-R: child population aged 10 to 17 by ethnic group
# The denominator behind the rates published elsewhere in PRISM-R.
# PRISM-R, an open tool for analysis of remand disproportionality in
# the youth justice system of England and Wales. Oxon Advisory.
# https://prism-r.howpreventionworks.com
# Contains public sector information licensed under the Open Government
# Licence v3.0. Source and reference period are given per row.
# A blank value with a disclosure_status of suppressed or
# source_suppressed is a cell withheld under disclosure control; it is
# not a zero and must not be treated as one.
geo_id,ethnicity,age,sex,population,source,reference_period,disclosure_status
E06000001,Asian,,female,30,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Asian,,female,42,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Asian,,female,40,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Asian,,male,39,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Asian,,male,50,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Asian,,male,46,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Black,,female,11,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Black,,female,13,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Black,,female,8,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Black,,male,15,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Black,,male,17,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Black,,male,14,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Mixed,,female,19,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Mixed,,female,20,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Mixed,,female,23,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Mixed,,male,23,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Mixed,,male,27,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Mixed,,male,26,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Other,,female,10,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Other,,female,10,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Other,,female,23,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Other,,male,11,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Other,,male,17,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,Other,,male,15,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,White,,female,1088,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,White,,female,1620,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,White,,female,1574,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,White,,male,1159,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,White,,male,1696,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000001,White,,male,1577,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Asian,,female,262,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Asian,,female,368,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Asian,,female,364,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Asian,,male,256,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Asian,,male,358,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Asian,,male,369,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Black,,female,65,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Black,,female,74,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Black,,female,59,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Black,,male,58,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Black,,male,63,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Black,,male,65,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
E06000002,Mixed,,female,82,"ONS Census 2021, dataset RM032","Census day, 21 March 2021",full
