# PRISM-R: Stop and search rate, Asian, by police force area
# PRISM-R, an open tool for analysis of remand disproportionality in
# the youth justice system of England and Wales. Oxon Advisory.
# https://prism-r.howpreventionworks.com
# Extracted: 2026-09-03
# Shown at police force area level: the Home Office publishes stop and search by force, not by local authority.
# Contains public sector information licensed under the Open Government
# Licence v3.0. Source and reference period are given per row.
# A blank value with a disclosure_status of suppressed or
# source_suppressed is a cell withheld under disclosure control; it is
# not a zero and must not be treated as one.
geo_id,geo_name,geo_level,indicator,indicator_label,year,ethnicity,value,unit,numerator,denominator,national_value,national_scope,source,reference_period,disclosure_status
pf-avon-and-somerset,Avon and Somerset,Police force area,stop_search_rate,Stop and search rate,2025,Asian,3.53303,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-bedfordshire,Bedfordshire,Police force area,stop_search_rate,Stop and search rate,2025,Asian,2.94858,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-cambridgeshire,Cambridgeshire,Police force area,stop_search_rate,Stop and search rate,2025,Asian,2.22883,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-cheshire,Cheshire,Police force area,stop_search_rate,Stop and search rate,2025,Asian,12.4805,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-cleveland,Cleveland,Police force area,stop_search_rate,Stop and search rate,2025,Asian,7.0633,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-cumbria,Cumbria,Police force area,stop_search_rate,Stop and search rate,2025,Asian,34.48276,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-derbyshire,Derbyshire,Police force area,stop_search_rate,Stop and search rate,2025,Asian,4.95433,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-devon-and-cornwall,Devon and Cornwall,Police force area,stop_search_rate,Stop and search rate,2025,Asian,1.3947,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-dorset,Dorset,Police force area,stop_search_rate,Stop and search rate,2025,Asian,1.08225,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
pf-durham,Durham,Police force area,stop_search_rate,Stop and search rate,2025,Asian,9.45378,"per 1,000 children aged 10 to 17",,,7.72041,England and Wales,"Home Office, Police powers and procedures: stop and search open data tables",year ending 31 March 2025,released
