# PRISM-R: time spent on remand, by nights band and ethnic group
# Episodes ending in the year, not the standing population.
# PRISM-R, an open tool for analysis of remand disproportionality in
# the youth justice system of England and Wales. Oxon Advisory.
# https://prism-r.howpreventionworks.com
# Contains public sector information licensed under the Open Government
# Licence v3.0. Source and reference period are given per row.
# A blank value with a disclosure_status of suppressed or
# source_suppressed is a cell withheld under disclosure control; it is
# not a zero and must not be treated as one.
indicator,legal_basis,nights_band,ethnicity_group,ethnicity_basis,year_ending_march,value,source,reference_period,disclosure_status
episode_count,dto,183_to_273,ethnic_minority,binary,2019,45,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,183_to_273,ethnic_minority,binary,2020,45,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,183_to_273,ethnic_minority,binary,2021,22,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,183_to_273,ethnic_minority,binary,2022,29,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,183_to_273,ethnic_minority,binary,2023,22,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,183_to_273,ethnic_minority,binary,2024,19,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,183_to_273,ethnic_minority,binary,2025,14,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,183_to_273,ethnic_minority,binary,2026,25,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,dto,183_to_273,white,binary,2019,83,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,183_to_273,white,binary,2020,67,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,183_to_273,white,binary,2021,47,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,183_to_273,white,binary,2022,37,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,183_to_273,white,binary,2023,21,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,183_to_273,white,binary,2024,31,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,183_to_273,white,binary,2025,27,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,183_to_273,white,binary,2026,21,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,dto,1_to_91,ethnic_minority,binary,2019,189,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,1_to_91,ethnic_minority,binary,2020,193,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,1_to_91,ethnic_minority,binary,2021,100,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,1_to_91,ethnic_minority,binary,2022,77,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,1_to_91,ethnic_minority,binary,2023,68,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,1_to_91,ethnic_minority,binary,2024,86,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,1_to_91,ethnic_minority,binary,2025,66,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,1_to_91,ethnic_minority,binary,2026,72,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,dto,1_to_91,white,binary,2019,342,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,1_to_91,white,binary,2020,265,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,1_to_91,white,binary,2021,149,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,1_to_91,white,binary,2022,97,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,1_to_91,white,binary,2023,118,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,1_to_91,white,binary,2024,120,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,1_to_91,white,binary,2025,118,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,1_to_91,white,binary,2026,101,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,dto,274_plus,ethnic_minority,binary,2019,49,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,274_plus,ethnic_minority,binary,2020,22,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,274_plus,ethnic_minority,binary,2021,28,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,274_plus,ethnic_minority,binary,2022,12,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,274_plus,ethnic_minority,binary,2023,11,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,274_plus,ethnic_minority,binary,2024,14,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,274_plus,ethnic_minority,binary,2025,10,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,274_plus,ethnic_minority,binary,2026,7,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,dto,274_plus,white,binary,2019,53,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,274_plus,white,binary,2020,51,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,274_plus,white,binary,2021,34,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,274_plus,white,binary,2022,19,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,274_plus,white,binary,2023,17,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,274_plus,white,binary,2024,16,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,274_plus,white,binary,2025,18,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,274_plus,white,binary,2026,9,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,dto,92_to_182,ethnic_minority,binary,2019,125,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,92_to_182,ethnic_minority,binary,2020,117,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,92_to_182,ethnic_minority,binary,2021,76,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,92_to_182,ethnic_minority,binary,2022,33,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,92_to_182,ethnic_minority,binary,2023,45,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,92_to_182,ethnic_minority,binary,2024,51,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,92_to_182,ethnic_minority,binary,2025,35,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,92_to_182,ethnic_minority,binary,2026,34,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,dto,92_to_182,white,binary,2019,193,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,dto,92_to_182,white,binary,2020,145,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,dto,92_to_182,white,binary,2021,66,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,dto,92_to_182,white,binary,2022,63,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,dto,92_to_182,white,binary,2023,67,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,dto,92_to_182,white,binary,2024,81,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,dto,92_to_182,white,binary,2025,64,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,dto,92_to_182,white,binary,2026,50,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,other,183_to_273,ethnic_minority,binary,2019,24,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,other,183_to_273,ethnic_minority,binary,2020,21,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,other,183_to_273,ethnic_minority,binary,2021,18,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,other,183_to_273,ethnic_minority,binary,2022,14,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,other,183_to_273,ethnic_minority,binary,2023,11,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,other,183_to_273,ethnic_minority,binary,2024,14,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,other,183_to_273,ethnic_minority,binary,2025,18,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,other,183_to_273,ethnic_minority,binary,2026,18,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,other,183_to_273,white,binary,2019,17,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,other,183_to_273,white,binary,2020,27,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,other,183_to_273,white,binary,2021,15,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,other,183_to_273,white,binary,2022,16,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,other,183_to_273,white,binary,2023,15,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,other,183_to_273,white,binary,2024,14,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,other,183_to_273,white,binary,2025,16,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,other,183_to_273,white,binary,2026,21,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,other,1_to_91,ethnic_minority,binary,2019,31,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,other,1_to_91,ethnic_minority,binary,2020,33,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,other,1_to_91,ethnic_minority,binary,2021,26,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,other,1_to_91,ethnic_minority,binary,2022,41,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,other,1_to_91,ethnic_minority,binary,2023,19,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,other,1_to_91,ethnic_minority,binary,2024,19,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,other,1_to_91,ethnic_minority,binary,2025,21,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,other,1_to_91,ethnic_minority,binary,2026,26,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,other,1_to_91,white,binary,2019,34,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,other,1_to_91,white,binary,2020,37,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,other,1_to_91,white,binary,2021,27,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
episode_count,other,1_to_91,white,binary,2022,36,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2022,released
episode_count,other,1_to_91,white,binary,2023,20,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2023,released
episode_count,other,1_to_91,white,binary,2024,26,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2024,released
episode_count,other,1_to_91,white,binary,2025,35,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2025,released
episode_count,other,1_to_91,white,binary,2026,18,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2026,released
episode_count,other,274_plus,ethnic_minority,binary,2019,87,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2019,released
episode_count,other,274_plus,ethnic_minority,binary,2020,115,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2020,released
episode_count,other,274_plus,ethnic_minority,binary,2021,69,"MoJ Youth Custody Service, monthly youth custody report",year ending March 2021,released
