# PRISM-R: use of remand for children, England and Wales
# Remand is published at England and Wales level only; the Youth Justice Board does not publish it below national level.
# PRISM-R, an open tool for analysis of remand disproportionality in
# the youth justice system of England and Wales. Oxon Advisory.
# https://prism-r.howpreventionworks.com
# Contains public sector information licensed under the Open Government
# Licence v3.0. Source and reference period are given per row.
# A blank value with a disclosure_status of suppressed or
# source_suppressed is a cell withheld under disclosure control; it is
# not a zero and must not be treated as one.
geo_id,year,breakdown,remand_type,ethnicity,age_band,sex,offence_band,count,source,reference_period,disclosure_status
ew,2025,age,bail,,10-14,,,1584,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,age,bail,,15-17,,,7107,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,age,community_remand,,10-14,,,124,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,age,community_remand,,15-17,,,867,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,age,rlaa,,10-14,,,53,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,age,rlaa,,15-17,,,369,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,age,ydp,,10-14,,,72,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,age,ydp,,15-17,,,916,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,ethnicity,bail,Asian,,,,411,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,ethnicity,bail,Black,,,,1298,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,ethnicity,bail,Mixed,,,,1065,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,ethnicity,bail,Other,,,,258,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,ethnicity,bail,Unknown,,,,257,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,ethnicity,bail,White,,,,5402,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
ew,2025,ethnicity,community_remand,Asian,,,,50,"YJB Youth Justice Statistics 2024 to 2025, remand and outcomes tables",year ending March 2025,released
